ARTIST,ALBUM,CURRENT,GENRE,CONTENT TAGS,NOTES,LINK,ADDED,RELEASE DATE,LABEL
Rhaina Yasmin,Magician,1068,indie/rock/alt,,,https://rhainayasmin.bandcamp.com/album/magician,1/6/2026,11/28/2025,
silhouette,silhouette,6021,indie/rock/alt,,,https://xsilhouettex.bandcamp.com/album/silhouette,1/6/2026,11/21/2025,
Buzz Kull,Deep Hate,3027,electronic,,,https://buzzkull.bandcamp.com/album/deep-hate,1/5/2026,2/13/2026,
River Honey,Black Crows,1060,indie/rock/alt,"singles club,local,cancon,femcon",,https://www.youtube.com/@RiverHoney_/featured,1/5/2026,1/9/2026,
Dry Cleaning,Secret Love,1061,indie/rock/alt,femcon,,https://drycleaning.bandcamp.com/album/secret-love,1/5/2026,1/9/2026,
Winnie Richards,Hold On To Your Memory,1067,indie/rock/alt,"cancon,femcon",,https://winnierichards.bandcamp.com/album/hold-on-to-your-memory,1/5/2026,1/4/2026,
Beholder,Prisonniers de l'Abîme,6019,loud,"cancon,francophone",,https://beholderqc.bandcamp.com/album/prisonniers-de-lab-me,1/5/2026,12/22/2025,
River Tiber,Spirals,3026,electronic,cancon,,https://rivertiber.bandcamp.com/album/spirals,1/5/2026,12/19/2025,
Theo Bleak,Bargaining,1062,indie/rock/alt,,,https://theobleak.bandcamp.com/album/bargaining,1/5/2026,12/18/2025,
HEALTH,CONFLICT DLC,3028,electronic,,,https://youwillloveeachother.bandcamp.com/album/conflict-dlc,1/5/2026,12/11/2025,
Beth and Blue,Take It All,2023,folk/blues,femcon,,https://bethandbluemusic.bandcamp.com/album/take-it-all,1/5/2026,12/4/2025,
NONTHEWISER,Injustice for all,6018,loud,,,https://nonthewiser.bandcamp.com/album/injustice-for-all,1/5/2026,11/20/2025,
Horse Chops,Hinterland EP,1065,indie/rock/alt,cancon,,https://horsechops.bandcamp.com/album/hinterland-ep,1/5/2026,11/18/2025,
The Slackers,Money is King,7008,world,,,https://theslackers.bandcamp.com/album/money-is-king,1/5/2026,11/7/2025,
Kelcey Ayer,Hand Me Downs EP,1059,indie/rock/alt,,,https://kelceyayer.bandcamp.com/album/hand-me-downs-ep,1/5/2026,11/6/2025,
Anastasia Coope,DOT,9004,classical/ost/experimental,femcon,,https://anastasiacoope.bandcamp.com/album/dot,1/5/2026,10/31/2025,
Scorching Tomb,Ossuary,6020,loud,cancon,,https://scorchingtomb.bandcamp.com/album/ossuary,1/5/2026,10/24/2025,
Jane Inc.,A RUPTURE A CANYON A BIRTH,1064,indie/rock/alt,"cancon,femcon",,https://janeinc.bandcamp.com/album/a-rupture-a-canyon-a-birth,1/5/2026,10/17/2025,
Sam Kaiser,Two Tries,2024,folk/blues,cancon,,https://samkaiser.bandcamp.com/album/two-tries,1/5/2026,10/9/2025,
Good Dear Good,sook,1063,indie/rock/alt,,,https://gooddeargood.bandcamp.com/album/sook,1/5/2026,9/26/2025,
Joe Policastro Trio,Mending Wall,8010,jazz,,,https://joepolicastrotrio.bandcamp.com/album/mending-wall,1/5/2026,9/19/2025,
NEW YORK,Push,1066,indie/rock/alt,femcon,,https://nypop.bandcamp.com/album/push,1/5/2026,9/12/2025,
Vulgaires Machins,Contempler l'abîme,1057,indie/rock/alt,"cancon,francophone",,https://lesvulgairesmachins.bandcamp.com/album/contempler-lab-me,12/19/2025,11/14/2025,Costume Records
Elaquent,Excursion,3020,electronic,cancon,,https://elaquent.bandcamp.com/album/excursion,12/19/2025,11/7/2025,
Josh Garrels,Peace To All Who Enter Here - Volume 2,2019,folk/blues,,,https://joshgarrels.bandcamp.com/album/peace-to-all-who-enter-here-volume-2,12/19/2025,11/7/2025,Small Voice
the Mountain Goats,Through This Fire Across From Peter Balkan,2020,folk/blues,,,https://themountaingoats.bandcamp.com/album/through-this-fire-across-from-peter-balkan,12/19/2025,11/7/2025,The Orchard
Armand Hammer & The Alchemist,Mercy,4011,hip-hop,,,https://armandhammer.bandcamp.com/album/mercy,12/19/2025,11/7/2025,Backwoodz Studioz
SML,How You Been,8009,jazz,,,https://intlanthem.bandcamp.com/album/how-you-been,12/19/2025,11/7/2025,International Anthem Recording Co.
tennyson,aka,3022,electronic,cancon,,https://tennyson.bandcamp.com/album/aka,12/19/2025,11/7/2025,
undersaken,Fleeting Visitant,3019,electronic,cancon,,https://undersaken.bandcamp.com/album/fleeting-visitant,12/19/2025,11/6/2025,
Hiss Golden Messenger,Seven Dollars: a Benefit for North Carolina Food Assistance,2018,folk/blues,,,https://hissgoldenmessenger.bandcamp.com/album/seven-dollars-a-benefit-for-north-carolina-food-assistance,12/19/2025,11/5/2025,Merge Records
Primordial Serpent,At War With the Empyrean,6017,loud,cancon,,https://primordialserpent.bandcamp.com/album/at-war-with-the-empyrean,12/19/2025,11/4/2025,
Mr. Bill,Mr. Melanzana,3021,electronic,,,https://mrbill.bandcamp.com/album/mr-melanzana,12/19/2025,11/3/2025,Mr. Bill’s Tunes
Desirée Dawson,Beholder,2017,folk/blues,cancon,,https://desiree-dawson.bandcamp.com/album/beholder,12/19/2025,11/2/2025,
The Boojums,The Boojums,1058,indie/rock/alt,"cancon,femcon",,https://theboojums.bandcamp.com/album/the-boojums,12/19/2025,10/31/2025,Having Fun Records
Ada Rook,59 NIGHTS,3023,electronic,"cancon,femcon",,https://adarook.bandcamp.com/album/59-nights,12/19/2025,10/31/2025,TRUE PORTAL
The Weather Station,Airport & Only The Truth,2021,folk/blues,"cancon,femcon",,https://theweatherstation.bandcamp.com/album/airport-only-the-truth,12/19/2025,10/30/2025,Fat Possum Records
Cousin & Priori,Fly In Amber,3025,electronic,cancon,,https://naffrecordings.bandcamp.com/album/fly-in-amber,12/19/2025,10/30/2025,NAFF
Tortoise,Touch,1056,indie/rock/alt,,,https://intlanthem.bandcamp.com/album/touch,12/19/2025,10/24/2025,International Anthem Recording Co.
The Tear Garden,Astral Elevator,3024,electronic,cancon,,https://brap.bandcamp.com/album/astral-elevator,12/19/2025,10/24/2025,Artoffact Records
