Artist,Album,Date,URL
A$AP Rocky,Don't Be Dumb,2026-01-20,
Albatros,Correct,2026-01-20,https://nofuneralsound.bandcamp.com/album/correct?search_item_id%3D1947482546%26search_item_type%3Da%26search_match_part%3D%253F%26search_page_id%3D5049350589%26search_page_no%3D0%26search_rank%3D1=
Allie X,Happiness Is Going To Get You,2026-01-20,
Bad Friends Forever,The Art Of Personal Space,2026-01-20,https://badfriendsforever1.bandcamp.com/album/the-art-of-personal-space
Badass Commander,Intense Combat Experiment,2026-01-20,https://badasscommander.bandcamp.com/album/intense-combat-experiment
"Barwick, Julianna",Tragic Magic,2026-01-20,
Bellbird,The Call,2026-01-20,
"Branscombe, Mark",Field Recordings,2026-01-20,https://markbranscombe.bandcamp.com/album/field-recordings-full-album
bufflehead,bufflehead,2026-01-20,https://bufflehead.bandcamp.com/album/bufflehead
"Burt, Nick",Otherside,2026-01-20,
Calling All Captains,The Things That I,2026-01-20,
Calling All Captains,The Things That I've Lost,2026-01-20,
"Caltwait, Iris",Again for the first time,2026-01-20,https://iriscaltwait.bandcamp.com/album/again-for-the-first-time
"Camacho Tango Project, Laura",Todo Tiempo Pasado,2026-01-20,https://lauracamachotangoproject.bandcamp.com/album/todo-tiempo-pasado
"Carty, Mary Beth",A' Challuinn,2026-01-20,
Chloe Palomino,In The Night,2026-01-20,
Chopping Spree,Anemoia,2026-01-20,https://choppingspree.bandcamp.com/album/anemoia-2
Conductor,Spirits Rise!,2026-01-20,https://conductorheavy.bandcamp.com/album/spirits-rise
cropscropscrops and Vaygrnt,we've been after each other,2026-01-20,https://cropscropscrops.bandcamp.com/album/weve-been-after-each-other
Cryptopsy,Whisper Supremacy,2026-01-20,
"Davis, Kirs , The Lutoslawski Quartet",The Solastalgia,2026-01-20,
"Dease, Michael",MSU Jazz Trombones: Spartan Strong,2026-01-20,https://michaeldease.bandcamp.com/album/flow
Dexter in the Newsagent,Time Flies,2026-01-20,
DOLLHEAD,Stop,2026-01-20,https://dollhead1.bandcamp.com/album/stop
Doomsday Dementia,"Thoughts, Prayers and Other Useless Bullshit",2026-01-20,https://doomsdaydementia.bandcamp.com/album/thoughts-prayers-and-other-useless-bullshit
ecco 64,Hopes & dreamz,2026-01-20,
"Ema, Marco",Soleil mâché,2026-01-20,https://marcoema.bandcamp.com/album/soleil-m-ch
Emmet Jerome,It Ain't Me,2026-01-20,https://emmettjerome.bandcamp.com/album/it-aint-me
"Fernandes, Silas",Carbon Purge Acceleration,2026-01-20,https://silasfernandes.bandcamp.com/album/carbon-purge-acceleration
Fleshvessel,Obstinacy: Sisyphean Dreams Unfolded,2026-01-20,https://fleshvesseldm.bandcamp.com/album/obstinacy-sisyphean-dreams-unfolded
"Foster, Al",Live at Smoke,2026-01-20,https://alfoster.bandcamp.com/album/live-at-smoke
Glom,Below,2026-01-20,https://newyorkglom.bandcamp.com/album/below-2
"Hip Replacement, Total",In Dub,2026-01-20,
"Hope, Rich",Live at the ANZA Club,2026-01-20,https://richhope.bandcamp.com/album/live-at-the-anza-club
"Höberg, Anna , Attack",Ensamseglaren,2026-01-20,
i.ronzu,TC007 (EP),2026-01-20,
Impiety,Versus All Gods,2026-01-20,
Jian,Runt,2026-01-20,https://jiannkittenco.bandcamp.com/album/runt
Jim Jarmusch & Anika,Father Mother Sister Brother,2026-01-20,
"Kapsalis, Robbin",The Blues Is In the House,2026-01-20,
Kirmeve,Serenity Revolution,2026-01-20,https://kirmeve.bandcamp.com/album/serenity-revolution
"Krawczyk, Alex",Wonders Await,2026-01-20,
Les Hôtesses d'Hilaire,Hilaire à boire,2026-01-20,
link3,On the Outline,2026-01-20,https://link3.bandcamp.com/album/on-the-outline
LMNT 115,Isotope,2026-01-20,
Local Weatherman,Right One,2026-01-20,
Louis-Charles,LOUIS-CHARLES II,2026-01-20,https://louischarles.bandcamp.com/album/louis-charles-ii
"Maggot, Breeder",Maggot Breeder,2026-01-20,
"Mbira Renaissance Band, The",Roto,2026-01-20,
Mephistofeles,Whore reissue,2026-01-20,
Mikayla Geier,HOT POT!,2026-01-20,
Milk and Bone,A Little Lucky,2026-01-20,
Mon Rovia,Bloodline,2026-01-20,https://monroviaboy.bandcamp.com/album/bloodline
Mori Blanck,Black Lake,2026-01-20,https://tottomori.bandcamp.com/album/black-lake
Murmurations,Where The Land Meets Sky,2026-01-20,
npnp and Jairus Sharif,Hammond,2026-01-20,
Out Of/Into,Motion II,2026-01-20,
"O’Riley, Christopher",LOTUSLAND,2026-01-20,
"Pan, Zhengtao",Mirror Floating On The Water,2026-01-20,
Peach Panic,Dark Place,2026-01-20,
"Peter, Evans , Mike Pride","A Window, Basically",2026-01-20,
Pith,The Liminal Space Between Life And Death,2026-01-20,
Posh Toboggan,Guitar Island,2026-01-20,
"Preverdoros, Brad , Collective",Beginnings,2026-01-20,
Psychedelic Porn Crumpets,Pogo Rodeo,2026-01-20,
"Razor Sharp, Ricca",2025,2026-01-20,
Remy Verreault,Throwing Daggers In The Dark,2026-01-20,
"Reticent, The",please,2026-01-20,https://thereticent.bandcamp.com/album/please
"Richter, Max",Hamnet,2026-01-20,
"Rohonczy, Leslie",Origin Stories,2026-01-20,
Sassy 009,Dreamer,2026-01-20,
"Saxe, Aynsley",Never Seen Stars Like These Before,2026-01-20,
Sepultura,Arise,2026-01-20,
"Sherwood, Adrian , , African Head Charge & Speakers Corner Quartet",Barbican Heights,2026-01-20,
"Sifters, The",Your Biggest Fan (EP),2026-01-20,
"Silver, Horace",Silver In Seattle: Live At The Penthouse,2026-01-20,
Soen,Reliance,2026-01-20,https://soenmusic.bandcamp.com/album/reliance
"Sprague, Sydney",Peak Experience,2026-01-20,https://sydneysprague.bandcamp.com/album/peak-experience
"Start, Gabby",Aretha Bangklyn,2026-01-20,https://bringyourknapsack.bandcamp.com/album/aretha-bangklyn
Stef.in,Nightmares,2026-01-20,
"Sterling, Alanna",Death to the Old Love (single),2026-01-20,
Stickerbush and heavensouls,DARKLIGHT,2026-01-20,
Stregoneria,Sorcerer,2026-01-20,
"Sylvia Platters, The",Will Tomorrow Be Enough [Ep],2026-01-20,
"Taborn, Craig , Tomeka Reid, Ches Smith",Dream Archives,2026-01-20,
Teitanblood,Seven Chalices,2026-01-20,
Trio Of Bloom,Trio Of Bloom,2026-01-20,
Union Duke,UD IV,2026-01-20,https://unionduke.bandcamp.com/album/ud-iv
"Variable, Cepheidae",Primordial Reverie,2026-01-20,https://cepheidaevariable.bandcamp.com/album/primordial-reverie
Veranda,Veranda,2026-01-20,https://verandamusic.bandcamp.com/album/veranda-2
viñu-vinu,2Faces,2026-01-20,
We.Own.the.Sky,In Your Absence,2026-01-20,https://weownthesky.bandcamp.com/album/in-your-absence
Wide Orbit,Introducing... Wide Orbit,2026-01-20,https://wide-orbit.bandcamp.com/album/introducing-wide-orbit
Wildchild,Child Of A Kingsman,2026-01-20,
"Andrews, Courtney Marie",Valentine,2026-01-19,https://courtneymarieandrews.bandcamp.com/album/valentine
"Beraldo, Alex",Moving On,2026-01-19,https://alexberaldo.bandcamp.com/album/moving-on
Bluhm,Mostly Forever,2026-01-19,
"Cribs, The",Selling A Vibe,2026-01-19,https://thecribs.bandcamp.com/album/selling-a-vibe
Curious Volume,Nothing is Good,2026-01-19,https://curiousvolume.bandcamp.com/album/nothing-is-good
"Fay, Bill",From The Bottom Of An Old Grandfather Clock (A Collection Of Demos And Outtakes 1966-70),2026-01-19,https://billfay.bandcamp.com/album/from-the-bottom-of-an-old-grandfather-clock-a-collection-of-demos-and-outtakes-1966-70
Funny Weather,Funny Weather,2026-01-19,
Good Dear Good,Sook,2026-01-19,
Holy Fuck,Event Beat,2026-01-19,
"Jeremiah, Jonathan",We Come Alive,2026-01-19,
Leepeck,Where The Wild Things Drown EP,2026-01-19,
Lettuce,Cook,2026-01-19,
"Mason, Lee",Music By Lee Mason (1971),2026-01-19,
Mercyland,Mercyland,2026-01-19,
Nominee,Withered Away,2026-01-19,
Ousted,How Do You Cope?,2026-01-19,
"Peck, Jody",Wild Northern Way,2026-01-19,
Please Be Careful,Hot Surface,2026-01-19,
"Romano's, Daniel , Outfit",Preservers Of The Pearl,2026-01-19,
Unkept,Unkept,2026-01-19,
Untimely Demise,Killing Authority,2026-01-19,https://untimelydemise.bandcamp.com/album/killing-authority
Various,Quorum Sensing II,2026-01-19,https://stereoferment.bandcamp.com/album/quorum-sensing-ii-sf020
Wade Easy,Sleeping With The Sun On,2026-01-19,https://wadeeasy.bandcamp.com/album/sleeping-with-the-sun-on
Altered Five Blues Band,Hammer and Chisel,2026-01-16,
Ashes of Salem,The Diabolists EP,2026-01-16,https://ashesofsalem.bandcamp.com/album/dead-by-dawn
"Co-Conspirators, The",War is a Racket and Other Irrefutable Truths,2026-01-16,https://theco-conspirators.bandcamp.com/album/war-is-a-racket-and-other-irrefutable-truths
D'orjay & The Lovely Luvies Fam,Futuristic Sounds in Western Prairie Music,2026-01-16,https://djluviesfamband.bandcamp.com/album/futuristic-sounds-in-western-prairie-music-living-at-beaver-hills-house
"Dickinson, Sam",Gemini Duets,2026-01-16,
Equator,Hooligan,2026-01-16,
"Goulet, Caitlin",Fun N Games EP,2026-01-16,
"Hills, Anne",Every Home,2026-01-16,
Iceis Rain,Redemption,2026-01-16,
"Jackson, Lynn",Mirrors,2026-01-16,
Kyle Rowland,Not Holding Back,2026-01-16,https://thatkylerowland.bandcamp.com/album/volume-one
"Laxton, Mikhail",Present Nostalgia,2026-01-16,
"Leao, Joao",Celestial,2026-01-16,
"Melawmen Collective, The",Fire in the Lake,2026-01-16,https://themelawmencollectivemusic.bandcamp.com/album/fire-in-the-lake
"Mitchell, Bennett",rearranging [EP],2026-01-16,
Sage Christie,Little Deaths,2026-01-16,https://sagechristie.bandcamp.com/album/little-deaths
"Singh, Ruby , & The Future Ancestors",Celestial Libations,2026-01-16,
They Call Me Sir,Beautiful Day EP,2026-01-16,
Tom Paxton & John McCutcheon,Together Again,2026-01-16,
"Wilson, Kim",Slow Burn,2026-01-16,
