CURRENT,COUNT,ARTIST,ALBUM,CONTENT TAGS,LABEL TYPE,WEEKS_IN_STUDIO
1042,3,Rachel Bobbitt,Swimming Towards The Sand,"cancon,femcon",self-released,4.0
1058,3,The Boojums,The Boojums,"cancon,femcon",self-released,5.0
1058,3,Ashbreather,La Grande Bouffe,cancon,self-released,5.0
1042,3,The Pack a.d.,Shiny New Old Songs,,self-released,4.0
818,2,JayWood,Leo Negro,cancon,self-released,0.0
3014,2,Men Without Hats,Men Without Hats On The Moon,cancon,self-released,0.0
1013,2,Red Ram,Those Days Those Dreams,"cancon,femcon",self-released,1.0
680,2,No Joy,Bugland,"cancon,femcon",self-released,2.0
616,2,TOPS,Bury the Key,"cancon,femcon,jammer pick",self-released,8.0
1054,2,Melody's Echo Chamber,Unclouded,,self-released,0.0
1054,2,UNIVERSITY,YES,,self-released,0.0
1243,2,Machine Girl,PsychoWarrior: MG Ultra X,,self-released,0.0
1013,2,Spiritual Cramp,RUDE,,self-released,1.0
4001,2,Danny Brown,Stardust,,self-released,1.0
1150,2,Ninajirachi,I Love My Computer,femcon,self-released,6.0
1060,1,River Honey,Black Crows,"singles club,local,cancon,femcon",self-released,2.0
1045,1,ctznshp,Lost Loves (A Collection Of Rarities),cancon,self-released,0.0
1045,1,Revelator,Light the Devil's Fire,cancon,self-released,0.0
1047,1,Ellemetue,Anticiper vos souvenirs,"cancon,femcon,francophone",self-released,0.0
1048,1,Socool,To the Nines,cancon,self-released,0.0
1057,1,Vulgaires Machins,Contempler l'abîme,"cancon,francophone",self-released,0.0
1064,1,Jane Inc.,A RUPTURE A CANYON A BIRTH,"cancon,femcon",self-released,0.0
1067,1,Winnie Richards,Hold On To Your Memory,"cancon,femcon",self-released,0.0
2014,1,Julianna Riolino,Echo in the Dust,"cancon,femcon,jammer pick",self-released,0.0
2021,1,The Weather Station,Airport & Only The Truth,"cancon,femcon",self-released,0.0
2022,1,The Pairs,Together on a Rock,"cancon,femcon",self-released,0.0
3020,1,Elaquent,Excursion,cancon,self-released,0.0
3022,1,tennyson,aka,cancon,self-released,0.0
3024,1,The Tear Garden,Astral Elevator,cancon,self-released,0.0
1024,1,Josh Cole,quartet +strings,cancon,self-released,2.0
